Item,Description,Supplier,Vendor PN,Total QTY (inc. spares),Spares,Price in original currency,Currency,Price in AUD ,Total price (AUD) ,Link,Weight per part (g),Quantity per robot,Total weight (g),Notes,,,,,,,,,,,,
Linear Voltage Regulator,Linear Voltage Regulator IC Positive Fixed 1 Output 3.3V 5A DDPAK/TO-263-3,DigiKey,LM1084IS-3.3/NOPB-ND,5,3,$3.90,AUD,$3.90,$19.50,http://www.digikey.com.au/product-detail/en/texas-instruments/LM1084IS-3.3-NOPB/LM1084IS-3.3-NOPB-ND/363551,,1,1,,,,,,,,,,,,,
Switching Voltage Regulator,CONVERTER DC/DC REG 5V 2000MA,DigiKey,102-2175-ND,5,3,$13.18,AUD,$13.18,$65.90,http://www.digikey.com.au/product-detail/en/cui-inc/V7805-2000/102-2175-ND/2352134?keywords=102-2175-ND&cur=AUD&lang=en,,1,1,,,,,,,,,,,,,
Capacitor,"1000µF 25V Aluminum Capacitors Radial, Can 2000 Hrs @ 85°C",DigiKey,493-1065-ND,8,,$0.60,AUD,$0.60,$4.80,http://www.digikey.com.au/product-detail/en/nichicon/UVR1E102MPD/493-1065-ND/588806,,1,1,,,,,,,,,,,,,
Capacitor,"100µF 25V Aluminum Capacitors Radial, Can 2000 Hrs @ 85°C",DigiKey,399-6102-ND,50,,$0.09,AUD,$0.09,$4.50,http://www.digikey.com.au/product-detail/en/kemet/ESK107M025AC3AA/399-6102-ND/2712507,,,,,,,,,,,,,,,,
Capacitor,"0.012µF 50V Ceramic Capacitor X7R 0603 (1608 Metric) 0.063" L x 0.031" W (1.60mm x 0.80mm)"".012µF 50V Ceramic Capacitor X7",DigiKey,1276-1785-1-ND,100,,$0.03,AUD,$0.03,$3.00,http://www.digikey.com.au/product-detail/en/samsung-electro-mechanics-america-inc/CL10B123KB8NNNC/1276-1785-1-ND/3889871,,,,,,,,,,,,,,,,
Resistor,RES SMD 1.5K OHM 1% 1/10W 0603,DigiKey,311-1.50KHRCT-ND,100,,$0.01,AUD,$0.01,$0.80,http://www.digikey.com.au/product-detail/en/yageo/RC0603FR-071K5L/311-1.50KHRCT-ND/729811,,,,,,,,,,,,,,,,
Capacitor,"10µF 16V Ceramic Capacitor X5R 0805 (2012 Metric) 0.079" L x 0.049" W (2.00mm x 1.25mm)""0µF 16V Ceramic Capacitor X5R 0",DigiKey,1276-6455-1-ND,100,,$0.05,AUD,$0.05,$5.00,http://www.digikey.com.au/product-detail/en/samsung-electro-mechanics-america-inc/CL21A106KOQNNNG/1276-6455-1-ND/5958083,,,,,,,,,,,,,,,,
Capacitor,"22µF 16V Ceramic Capacitor X5R 0805 (2012 Metric) 0.079" L x 0.049" W (2.00mm x 1.25mm)""2µF 16V Ceramic Capacitor X5R 0",DigiKey,1276-6780-1-ND,50,,$0.14,AUD,$0.14,$7.00,http://www.digikey.com.au/product-detail/en/samsung-electro-mechanics-america-inc/CL21A226MOCLRNC/1276-6780-1-ND/5961639,,,,,,,,,,,,,,,,
Capacitor,"10µF Molded Tantalum Capacitors 16V 0805 (2012 Metric) 4.5 Ohm 0.079" L x 0.049" W (2.00mm x 1.25mm)""0µF Molded Tantalum Capacitors ",DigiKey,478-9402-1-ND,20,,$0.80,AUD,$0.80,$16.00,http://www.digikey.com.au/product-detail/en/avx-corporation/F981C106MSAAS1/478-9402-1-ND/4990403,,,,,,,,,,,,,,,,
Capacitor,"0.10µF 50V Ceramic Capacitor Y5V (F) 0603 (1608 Metric) 0.063" L x 0.031" W (1.60mm x 0.80mm)"".10µF 50V Ceramic Capacitor Y5V",DigiKey,311-1343-1-ND,1000,,$0.01,AUD,$0.01,$6.09,http://www.digikey.com.au/product-detail/en/yageo/CC0603ZRY5V9BB104/311-1343-1-ND/2103127,,,,,,,,,,,,,,,,
Capacitor,"0.22µF 25V Ceramic Capacitor X7R 0603 (1608 Metric) 0.063" L x 0.031" W (1.60mm x 0.80mm)"".22µF 25V Ceramic Capacitor X7R",DigiKey,587-1246-1-ND,100,,$0.07,AUD,$0.07,$6.50,http://www.digikey.com.au/product-detail/en/taiyo-yuden/TMK107B7224KA-T/587-1246-1-ND/931023,,,,,,,,,,,,,,,,
Capacitor,"1µF 25V Ceramic Capacitor X5R 0603 (1608 Metric) 0.063" L x 0.031" W (1.60mm x 0.80mm)""µF 25V Ceramic Capacitor X5R 06",DigiKey,490-3897-1-ND,100,,$0.05,AUD,$0.05,$4.84,http://www.digikey.com.au/product-detail/en/murata-electronics-north-america/GRM188R61E105KA12D/490-3897-1-ND/965939,,,,,,,,,,,,,,,,
Resistor,RES SMD 4.7K OHM 5% 1/10W 0603,DigiKey,311-4.7KGRCT-ND,100,,$0.01,AUD,$0.01,$0.60,http://www.digikey.com.au/product-detail/en/yageo/RC0603JR-074K7L/311-4.7KGRCT-ND/729732,,,,,,,,,,,,,,,,
MOSFET,MOSFET N-CH 50V 220MA SOT-23,DigiKey,BSS138CT-ND,20,,$0.24,AUD,$0.24,$4.86,http://www.digikey.com.au/product-detail/en/fairchild-semiconductor/BSS138/BSS138CT-ND/244294,,,,,,,,,,,,,,,,
Resistor,RES SMD 10K OHM 5% 1/10W 0603,DigiKey,311-10KGRCT-ND,1000,,$0.00,AUD,$0.00,$2.70,http://www.digikey.com.au/product-detail/en/yageo/RC0603JR-0710KL/311-10KGRCT-ND/729647,,,,,,,,,,,,,,,,
Box Header,"26 Positions Header, Shrouded Connector 0.100" (2.54mm) Surface Mount Gold
""6 Positions Header, Shrouded ",DigiKey,1175-1625-ND,10,,$1.01,AUD,$1.01,$10.08,http://www.digikey.com.au/product-detail/en/cnc-tech/3020-26-0300-00/1175-1625-ND/3441751,,,,,,,,,,,,,,,,
LED,0603 SMD Pure Green - Ultra Bright LED,Lighthouse LEDS,0603SMDPUREGREEN,20,,$0.20,USD,$0.27,$5.40,http://lighthouseleds.com/0603-smd-led-green-ultra-bright-600-mcd.html,,,,,,,,,,,,,,,,
LED,0603 SMD Blue - Ultra Bright LED,Lighthouse LEDS,0603SMDBLUE,20,,$0.20,USD,$0.27,$5.40,http://lighthouseleds.com/0603-smd-led-blue-ultra-bright-140-mcd.html,,,,,,,,,,,,,,,,
JST PH,B2B-PH-SM4-TB(LF)(SN),DigiKey,455-1734-1-ND,20,,$0.71,AUD,$0.71,$14.16,http://www.digikey.com.au/product-detail/en/B2B-PH-SM4-TB(LF)(SN)/455-1734-1-ND/926831,,,,,,,,,,,,,,,,
JST VH,B2P-VH-FB-B(LF)(SN),DigiKey,455-2947-ND,20,,$0.36,AUD,$0.36,$7.28,http://www.digikey.com.au/product-detail/en/jst-sales-america-inc/B2P-VH-FB-B(LF)(SN)/455-2947-ND/2178726,,,,,,,,,,,,,,,,
Light PCB,,,,,,,,,,,,,,,,,,,,,,,,,,
Phototransistor,"Phototransistor 630nm 2-SMD, No Lead",DigiKey,1080-1244-1-ND,100,50,$0.31,AUD,$0.31,$31.00,http://www.digikey.com.au/product-detail/en/everlight-electronics-co-ltd/ALS-PT19-315C-L177-TR8/1080-1244-1-ND/2675978,,25,25,,,,,,,,,,,,,
LED,0805 SMD Red - Ultra Bright LED,Lighthouse LEDS,0805SMDRED,100,50,$0.18,USD,$0.24,$24.00,http://lighthouseleds.com/0805-smd-led-red-ultra-bright-170-mcd.html,,25,25,,,,,,,,,,,,,
Fasteners & Structural Parts,,,,,,,,,,,,,,,,,,,,,,,,,,
TSOP Ring,,,,,,,,,,,77,1,77,,,,,,,,,,,,,
Bottom Plate,,,,,,,,,,,32,1,32,,,,,,,,,,,,,
Middle Plate,,,,,,,,,,,30,1,30,,,,,,,,,,,,,
Top Plate,,,,,,,,,,,25,1,25,,,,,,,,,,,,,
Total,,,,,,,,,"$4,374.07 ",,,110,710.8,,,,,,,,,,,,,
Remaining,,,,,,,,,,,,,389.2,,,,,,,,,,,,,
